seed,time_solve,size_bytes
166, 215.6386170387268, 313772339
362, 196.09940147399902, 290712044
172, 179.85713076591492, 251965766
18, 263.67098665237427, 296521229
613, 173.09935760498047, 254353907
689, 220.33168387413025, 290640620
442, 208.73875427246094, 269721350
818, 205.86091589927673, 285209208
23, 181.21143245697021, 241655446
393, 223.68286442756653, 301116406
1, 217.86328434944153, 308518193
99, 218.9430959224701, 292704565
14, 218.59375524520874, 298471410
917, 206.17512893676758, 307627769
106, 186.78130316734314, 281254623
730, 214.22741413116455, 301652950
895, 186.18047261238098, 269591238
640, 241.1771583557129, 333589332
35, 211.65658569335938, 286504253
770, 210.4937129020691, 294950700
303, 208.07728910446167, 325960840
6, 193.78011322021484, 279720702
933, 201.74710321426392, 289355860
359, 171.8161039352417, 266305926
368, 225.27527141571045, 289390633
792, 195.56066846847534, 279534090
713, 186.0080850124359, 294166603
907, 203.37078046798706, 304244912
695, 231.29791116714478, 326518447
130, 224.0695722103119, 291405175
616, 213.68563675880432, 298780131
756, 199.430273771286, 269006953
659, 182.4889543056488, 258600587
710, 210.56685090065002, 318790603
105, 218.30984497070312, 304073245
692, 209.91239094734192, 291575650
254, 226.92412424087524, 317489873
890, 212.89151453971863, 307575974
240, 218.27965021133423, 315230962
621, 169.26537418365479, 261968060
764, 193.89096879959106, 275134018
546, 190.00047373771667, 268059738
450, 205.48406147956848, 284796575
876, 245.26554226875305, 326022971
357, 207.76782298088074, 313209304
128, 220.9738631248474, 299527081
510, 183.08602666854858, 285545846
857, 216.56302976608276, 342659754
153, 227.01410722732544, 314290883
530, 211.642245054245, 340123199
516, 211.8049771785736, 311374880
70, 236.22970175743103, 312334287
901, 232.42245411872864, 307412106
605, 198.11185002326965, 302934945
183, 208.3671271800995, 295570873
986, 213.30680680274963, 294869776
702, 206.90379786491394, 290520314
926, 181.53519010543823, 272293038
461, 227.2566843032837, 299212409
307, 203.46065664291382, 316702311
164, 231.21444511413574, 320456199
94, 234.3074767589569, 316845887
463, 209.75874638557434, 299781479
457, 175.1511332988739, 258980330
603, 198.83970522880554, 279693024
545, 190.80865335464478, 289443163
419, 216.69702339172363, 317611291
212, 208.14723134040833, 266323268
619, 202.24533224105835, 312008033
97, 227.57006096839905, 282520529
293, 230.9113838672638, 308454524
413, 195.56314325332642, 299626166
924, 215.88985586166382, 307022754
955, 225.37158870697021, 311631410
416, 203.70250129699707, 297036828
423, 251.7846794128418, 322781713
665, 180.9431939125061, 275223930
502, 250.73768067359924, 334831688
361, 211.0561065673828, 295541563
682, 189.2394073009491, 270122775
108, 191.1165807247162, 274741905
193, 212.79436373710632, 280596582
137, 206.27101755142212, 287634496
641, 189.7320909500122, 287691812
958, 224.7009961605072, 297292350
291, 163.8111445903778, 274313843
531, 205.88775944709778, 299831521
626, 220.89688515663147, 310406640
8, 184.04073452949524, 286367887
91, 210.7997567653656, 290093342
305, 205.3167061805725, 321107011
56, 190.74265718460083, 295048926
136, 216.62640285491943, 303716983
814, 199.99557209014893, 267622776
540, 207.20532274246216, 305919252
412, 157.3421971797943, 242943971
954, 215.5065450668335, 294947378
200, 192.19726371765137, 303301933
981, 198.9000723361969, 275179975
325, 202.23152351379395, 289756837
984, 178.43527507781982, 299935061
816, 213.4714744091034, 301298185
345, 206.96057415008545, 304017767
114, 227.9875853061676, 300686387
373, 184.77330017089844, 267148660
171, 222.21633648872375, 299608726
103, 215.2498459815979, 300349594
587, 205.28052163124084, 294321125
972, 205.40911030769348, 298791323
283, 234.6772656440735, 353566637
583, 207.89054656028748, 316200103
858, 175.1789207458496, 261880108
894, 191.3103129863739, 288535760
116, 197.82135009765625, 285251786
285, 197.46777176856995, 255545760
951, 199.79772186279297, 282641078
339, 186.96331357955933, 288441064
843, 227.82530093193054, 324130396
131, 242.26684021949768, 327310868
77, 191.2287163734436, 287481607
470, 193.49142456054688, 280617881
369, 208.916362285614, 288206403
118, 224.5302062034607, 298914869
748, 255.2021825313568, 362853077
592, 196.17329740524292, 285565144
503, 228.81457257270813, 334811221
624, 243.0493402481079, 327305070
411, 214.90260934829712, 325328408
397, 203.03214621543884, 305627559
850, 204.12705183029175, 282713284
7, 207.98109078407288, 272949747
966, 220.3443009853363, 319054475
668, 214.43061232566833, 295328004
343, 203.43251276016235, 305658114
698, 191.08346557617188, 301096663
738, 200.0993983745575, 297904152
716, 177.2658565044403, 271154445
404, 210.69422912597656, 338088963
937, 217.91173815727234, 292945485
352, 210.5650839805603, 292609645
860, 214.3705596923828, 293062599
61, 189.36414074897766, 262291447
557, 176.35592007637024, 265353125
93, 181.90460109710693, 264464782
98, 227.95296621322632, 293819312
725, 202.37348556518555, 276151436
746, 221.08316373825073, 302149870
971, 251.4286105632782, 327667698
101, 201.93366527557373, 281710442
189, 181.23577237129211, 281500578
262, 183.08270573616028, 254626440
51, 196.87121748924255, 319342462
375, 235.4925582408905, 357019228
79, 200.86934423446655, 321336960
264, 195.2299587726593, 293747025
840, 188.30076456069946, 271744650
366, 173.78277802467346, 268580911
685, 198.4296534061432, 277369236
741, 218.3412742614746, 307750442
353, 190.3961684703827, 283337146
632, 202.62449502944946, 291903102
594, 188.15069270133972, 280126568
349, 210.49002814292908, 292488808
542, 211.2585141658783, 282911291
422, 205.57963800430298, 303318101
584, 189.92088651657104, 300800471
797, 223.69409203529358, 308044934
885, 224.50851821899414, 299762080
284, 182.95088529586792, 249242977
199, 237.10509657859802, 309335443
820, 186.85646176338196, 263295915
356, 188.92668056488037, 282366913
778, 180.7277901172638, 299743261
222, 202.92232537269592, 316677390
749, 223.57039332389832, 301590145
889, 237.05441403388977, 345492871
808, 187.25667071342468, 298307634
192, 176.79028415679932, 263700265
731, 220.29368448257446, 346840242
565, 220.28995752334595, 342075458
52, 236.80335760116577, 349785154
21, 218.92372679710388, 308977625
846, 190.5663845539093, 267365640
317, 208.4423463344574, 303388446
635, 219.7580554485321, 307724986
191, 213.20072484016418, 296123692
500, 214.86119556427002, 321815049
593, 238.365140914917, 335869139
543, 197.20992708206177, 282212801
195, 214.75565028190613, 282914103
993, 232.32103323936462, 328381619
636, 187.30340051651, 260129598
834, 171.27769422531128, 267564069
47, 235.35024547576904, 314357846
697, 194.3127224445343, 301480412
733, 204.2188379764557, 294343841
315, 185.43529844284058, 279880727
476, 196.91852569580078, 270779894
998, 164.38384890556335, 286362646
931, 176.67654275894165, 269644990
425, 166.4192841053009, 263756068
737, 220.45192527770996, 294365470
472, 173.34871649742126, 252856344
789, 225.35671186447144, 326213611
360, 175.42324495315552, 295514200
709, 209.246080160141, 298845983
884, 226.567715883255, 316318543
614, 208.3078761100769, 308033803
520, 197.7777292728424, 286388058
207, 210.99943923950195, 302089876
294, 214.8395915031433, 280683201
434, 191.28177976608276, 304946334
336, 252.38144397735596, 326797028
871, 219.44460225105286, 310041277
783, 210.115375995636, 290875972
0, 212.40876150131226, 295604029
863, 235.29973888397217, 314177898
215, 199.57081174850464, 279438735
203, 202.12681531906128, 290710213
239, 214.59594988822937, 297031617
549, 202.07457065582275, 298959055
308, 239.76496291160583, 328668923
842, 231.3344337940216, 332540278
771, 205.04923605918884, 299795004
957, 175.7750084400177, 288688301
365, 222.86701822280884, 314024395
1000, 240.09066486358643, 342594715
378, 232.02101516723633, 316043547
306, 208.43119049072266, 315372528
760, 211.86587643623352, 331071968
163, 216.00351572036743, 302506353
849, 198.19907784461975, 297043478
148, 213.45359182357788, 271586655
469, 216.31901812553406, 301220631
736, 218.08584022521973, 299989018
495, 207.58429408073425, 323271181
777, 208.1650505065918, 307172780
775, 212.9304485321045, 294173393
485, 208.62547731399536, 292506291
595, 205.75648760795593, 297479380
158, 201.09965586662292, 307762095
316, 194.02748441696167, 287684890
567, 194.35943579673767, 277554461
217, 203.9595227241516, 283471901
610, 207.3523507118225, 296702313
69, 205.9564015865326, 268191483
987, 222.25050377845764, 323923545
805, 190.36217832565308, 278992593
662, 201.41775345802307, 318450011
186, 190.5663287639618, 292176567
318, 192.22768831253052, 254672990
382, 180.5900821685791, 260417265
533, 201.549378156662, 300163917
29, 214.5348401069641, 286261517
633, 192.45514345169067, 291822390
772, 168.04188871383667, 260792071
213, 214.27196311950684, 315791059
355, 216.65813207626343, 285729194
26, 222.20899486541748, 302621956
793, 185.34723615646362, 286084455
896, 227.61288499832153, 317183079
757, 240.8293058872223, 336951326
623, 216.10151195526123, 296758888
54, 202.19402503967285, 274969717
544, 199.10296893119812, 299452927
655, 213.08418703079224, 311252653
599, 189.2265501022339, 280528475
90, 193.7228102684021, 246362037
331, 216.47926807403564, 294735958
985, 205.48857975006104, 284857148
389, 240.91612553596497, 321857008
274, 179.0691101551056, 286252483
969, 219.8074493408203, 315317572
119, 222.93480515480042, 301454824
786, 206.8626160621643, 280095238
649, 194.3232069015503, 297778594
342, 221.05739212036133, 297996029
824, 183.67644095420837, 265020004
300, 220.03723621368408, 294741569
319, 249.35315370559692, 331076509
755, 166.6200454235077, 289301116
88, 189.16796779632568, 267270943
351, 179.3073387145996, 263507151
944, 234.46787524223328, 328354645
989, 167.83663988113403, 283931773
908, 215.5669708251953, 305269850
724, 211.43676233291626, 296721255
726, 203.6635627746582, 290350056
729, 229.34528493881226, 327972358
504, 211.59519505500793, 297612810
522, 215.51920080184937, 303835667
234, 205.49340224266052, 283234287
670, 191.27186965942383, 272106316
677, 174.76344275474548, 261095309
683, 209.58864283561707, 310697161
639, 231.80831241607666, 316975837
268, 201.1279001235962, 269631806
652, 188.01101541519165, 272555862
856, 205.35402584075928, 282395557
138, 226.5019133090973, 328434250
27, 205.34084153175354, 273201973
563, 206.99517679214478, 310463413
992, 232.5367305278778, 320567178
744, 209.1946165561676, 283723629
911, 175.91836762428284, 270139628
678, 205.39167284965515, 287949382
866, 188.44770455360413, 294939707
475, 196.2514190673828, 296679253
753, 156.29735851287842, 240737084
401, 205.4880781173706, 268195419
427, 204.71404838562012, 282007300
763, 191.40257954597473, 280035399
526, 192.19346976280212, 268991747
773, 237.15482807159424, 334569352
620, 200.05143284797668, 272898848
864, 211.3076229095459, 295517561
11, 206.90530920028687, 276646385
956, 215.06857562065125, 294175500
700, 214.3245587348938, 300278750
945, 225.20805096626282, 298692986
414, 178.08271527290344, 274908264
144, 211.57353258132935, 271715797
575, 179.2835032939911, 283100687
591, 225.5733139514923, 316046820
104, 211.26814603805542, 287823136
250, 196.82100749015808, 298966005
991, 223.69037437438965, 317930577
723, 203.04773950576782, 288565959
73, 207.98809146881104, 271833370
424, 195.4866762161255, 272618588
967, 145.3683648109436, 289186625
810, 219.85883736610413, 293926111
322, 193.99581575393677, 299454105
484, 196.0472297668457, 303574414
844, 213.68237686157227, 289251048
600, 240.71406960487366, 330572573
514, 200.4498085975647, 322883161
776, 203.2197461128235, 269889157
705, 199.01258063316345, 311409247
964, 209.0192928314209, 297930441
402, 210.9382402896881, 278317034
396, 174.1095736026764, 269045153
653, 216.6144254207611, 298979548
494, 212.23569011688232, 313108607
156, 210.12605619430542, 282011778
141, 243.16763043403625, 309374626
799, 203.00419187545776, 280715879
941, 200.1130759716034, 268495553
221, 212.05742287635803, 308739617
752, 203.88698625564575, 287301747
920, 180.6158311367035, 268182161
28, 229.1112563610077, 302155316
574, 213.42575597763062, 315546395
238, 198.69694590568542, 272867350
827, 216.11069583892822, 301797694
676, 200.89075326919556, 273246527
979, 184.67349648475647, 300084307
888, 191.12516808509827, 299837800
451, 202.92809176445007, 324430581
392, 218.8134777545929, 300063869
30, 226.6693594455719, 306479845
139, 192.0149483680725, 256558032
882, 200.2056963443756, 282603266
536, 181.40386629104614, 271605059
449, 167.60300993919373, 252476868
982, 192.52314805984497, 276126570
198, 242.99435329437256, 330969718
745, 200.54472494125366, 294840944
102, 196.49871253967285, 317918088
507, 219.63100910186768, 296448744
227, 207.01126527786255, 279092100
950, 195.87173748016357, 260163749
637, 189.3262379169464, 283084905
690, 167.3220775127411, 258673665
157, 203.94437623023987, 297007358
64, 202.16566705703735, 291583948
943, 223.0040671825409, 309688933
897, 213.54010486602783, 292502262
112, 215.9720733165741, 321756253
243, 212.24691939353943, 286882993
553, 203.69863390922546, 289365658
15, 230.3339912891388, 303203502
962, 235.98516368865967, 308752561
513, 218.2854447364807, 294755632
223, 230.06106042861938, 317137400
333, 236.869770526886, 311001548
742, 201.1708481311798, 272582209
625, 243.69899487495422, 349307961
720, 174.58024740219116, 317223003
327, 222.1090292930603, 317466756
921, 191.66155624389648, 280017526
487, 208.42280411720276, 292984568
629, 201.69313526153564, 316376521
347, 221.45426607131958, 277385810
298, 190.9720540046692, 283381799
55, 192.43099236488342, 294460624
417, 216.24778079986572, 319137702
708, 175.29220008850098, 285351218
154, 202.60675716400146, 298351908
257, 209.48150086402893, 294919817
739, 209.61242198944092, 280407332
252, 203.33297395706177, 338841153
561, 234.9534683227539, 316636378
532, 219.23967337608337, 309423498
560, 183.6237654685974, 276749265
994, 192.3005542755127, 276075260
631, 194.53760361671448, 270561912
823, 206.6327223777771, 283180943
562, 189.61488103866577, 286061888
310, 212.0158817768097, 292811200
835, 213.61078119277954, 300361104
815, 199.67407774925232, 296185932
249, 207.01717615127563, 295808625
589, 215.12468671798706, 312067047
383, 207.54723477363586, 299119331
100, 188.6302673816681, 292245694
829, 216.1665313243866, 289374074
24, 226.57182836532593, 305302790
988, 200.72066736221313, 283774908
78, 196.7622594833374, 284640538
330, 198.16121315956116, 309690091
497, 196.71744632720947, 290939360
92, 202.9823670387268, 300557708
295, 236.7358798980713, 305266111
85, 241.9460413455963, 323059726
800, 198.24489331245422, 294147147
996, 223.79226565361023, 334876278
765, 221.6037254333496, 297350837
977, 231.31751012802124, 327568195
758, 249.1751217842102, 339656273
796, 193.4500856399536, 279898948
176, 209.06106877326965, 265225152
923, 213.0324785709381, 286485265
63, 190.74627995491028, 295878381
740, 209.15806818008423, 289351427
125, 204.91800332069397, 294806518
875, 219.7799665927887, 304845387
525, 221.30309081077576, 324491985
552, 191.66242671012878, 289660258
323, 191.97567629814148, 294262279
235, 224.95081448554993, 305921354
81, 177.6480164527893, 278481617
959, 193.4319362640381, 303972842
381, 217.6534776687622, 321967064
236, 220.03753185272217, 286580696
420, 194.72671222686768, 302122876
517, 174.66027116775513, 274174339
615, 207.79234170913696, 282278206
519, 191.0654308795929, 278386331
486, 200.706125497818, 281389763
990, 204.77391695976257, 297567073
387, 213.82519364356995, 284276288
903, 193.11973881721497, 294145698
821, 211.0698983669281, 298715157
